timestamp,x,y,z
1077.500089,-1.39,-2,1.06
1077.503495,-1.18,-2,1.02
1077.506944,-1.3,-2,0.456
1077.51032,-1.57,-2,0.163
1077.513743,-1.6,-1.94,0.0938
1077.517194,-1.25,-1.54,0.0547
1077.520597,-0.894,-1.32,0.0631
1077.524033,-0.699,-1.04,-0.0036
1077.527547,-0.693,-0.704,-0.126
1077.530906,-0.716,-0.312,-0.228
1077.534361,-0.58,-0.0664,-0.264
1077.537753,-0.362,0.114,-0.237
1077.541253,-0.15,0.287,-0.197
1077.544641,0.0107,0.451,-0.164
1077.548042,0.141,0.686,-0.163
1077.551499,0.24,0.843,-0.178
1077.554952,0.361,0.965,-0.179
1077.558357,0.5,1.07,-0.184
1077.56179,0.65,1.12,-0.15
1077.565233,0.856,1.14,-0.12
1077.568708,0.985,1.12,-0.0831
1077.572068,1.11,1.04,-0.0347
1077.575562,1.24,0.948,0.0201
1077.57888,1.35,0.797,0.0947
1077.582304,1.5,0.562,0.145
1077.585724,1.6,0.356,0.218
1077.58921,1.68,0.134,0.29
1077.592611,1.75,-0.107,0.372
1077.596007,1.81,-0.32,0.479
1077.599447,1.86,-0.608,0.569
1077.602862,1.87,-0.774,0.624
1077.606295,1.86,-0.888,0.621
1077.609716,1.85,-1.01,0.636
1077.61309,1.83,-1.12,0.686
1077.616531,1.85,-1.27,0.693
1077.619957,1.55,-1.28,1.6
1077.623344,2,-0.853,1.99
1077.626706,2,0.937,-0.426
1077.630195,2,1.31,-1.33
1077.633548,2,-0.198,0.75
1077.63697,2,0.0304,0.385
1077.640432,2,-0.141,0.212
1077.643896,2,-0.511,0.346
1077.647274,2,-0.444,0.0929
1077.650697,2,-0.536,-0.0396
1077.654123,1.94,-0.71,-0.171
1077.657536,1.49,-0.84,-0.228
